Survey,acreana,alata,alba,auristellae,barbata,bourgonii,brevipes,capitataESU1,capitataESU2,cayennensis,chartacea,cinnamomea,cordatoalata,coruscans,densiflora,edulis,fosteriana,heterophylla,ingoides,laurina ESU1,laurina ESU2,leiocalycina,lineata,longipes,marginata,nobilis,poeppigiana,porcata,psittacorum,punctata,ruizianaESU1,ruizianaESU2,sapindoides,sertulifera,setosa,steinbachii,stipulacea,suaveolans,tenuistipula,thibaudiana,tocacheana,tomentosaESU1,umbellifera,venustaESU1,venustaESU2,morpho17,morpho18,morpho22,morpho49,morpho50,morpho54,morpho55,morpho56,morpho58,morpho75
Blanquillo_floodplain,11,0,0,0,0,8,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,4,12,0,0,1,1,0,0,4,0,0,4,0,3,0,0,0,0,1,1,6,0,0,0,0,0,0,4,2,1,0
BocaManu_floodplain,8,5,0,0,3,13,0,0,0,0,0,7,0,0,0,3,0,0,1,0,0,0,0,0,1,19,0,0,0,7,2,0,23,0,0,0,0,5,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
Camungo_floodplain,14,0,0,0,0,22,0,1,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,3,11,0,4,0,1,35,0,5,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0
CICRA_floodplain,33,3,0,0,0,38,0,5,0,0,1,1,0,0,0,9,3,0,1,27,0,2,0,0,3,9,0,1,0,5,4,0,2,0,2,1,0,13,1,0,0,11,2,5,0,2,0,0,0,0,0,0,0,0,2
CM2_floodplain,3,1,0,3,0,7,0,4,1,0,7,1,0,0,0,1,0,0,1,3,0,0,0,0,0,6,0,0,0,0,4,0,1,0,1,0,0,21,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
CM3_floodplain,3,0,0,0,0,8,0,0,8,0,4,0,0,0,0,3,0,0,1,21,0,0,0,0,0,6,0,0,0,1,2,0,3,0,2,0,2,5,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,5
CochaCashu_floodplain,33,3,0,0,7,39,0,26,0,0,0,12,0,31,3,6,0,0,0,0,0,11,0,0,15,24,0,1,0,3,21,0,16,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0
LasPiedras_floodplain,5,4,0,8,0,17,0,36,4,0,5,5,0,0,15,7,0,0,2,0,0,3,0,0,6,41,1,0,0,1,0,0,13,4,0,7,2,0,0,1,0,0,5,2,0,0,0,0,7,1,0,0,0,1,2
Maizal_floodplain,15,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,11,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otorongo_floodplain,24,0,0,0,8,0,0,5,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,14,12,0,2,0,2,12,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Pakitza_floodplain,22,0,0,0,2,19,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,7,8,0,1,0,2,13,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Refugio_floodplain,30,7,0,0,0,10,0,11,0,0,0,2,0,0,0,0,0,0,0,21,0,1,0,0,0,10,0,0,0,2,3,0,1,0,0,1,0,3,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,2
Salvador_floodplain,7,1,0,0,4,0,0,5,0,0,1,11,0,0,0,0,0,0,0,0,0,1,0,0,9,11,0,6,0,2,15,0,15,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,1,0
Tambopata_floodplain,26,10,0,0,0,14,0,0,6,0,3,2,0,0,0,17,0,0,0,9,0,0,0,0,0,8,0,0,0,4,26,1,4,0,1,11,3,0,3,1,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0
BocaManu_upland,2,4,0,0,0,2,3,11,0,5,5,0,0,0,1,6,0,0,0,0,0,6,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,1,3,10,0,1,1,7,0,0,0,0,0,0,0,0,0,0,2
CICRA_upland,0,5,3,54,0,0,0,3,0,0,1,0,0,0,0,3,0,0,0,1,0,9,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,7,14,0,32,4,9,0,0,0,0,0,0,4
CM2_upland,0,1,0,37,0,0,3,6,1,0,1,0,0,0,0,2,0,0,0,3,0,6,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,6,11,0,33,1,1,0,0,0,0,0,0,6
CM3_upland,9,2,1,24,0,4,0,5,3,0,0,0,0,0,0,9,0,0,0,26,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,3,9,0,5,0,0,0,0,0,0,0,0,27
CochaCashu_upland,4,6,32,0,4,7,2,23,0,19,4,1,0,0,6,5,0,1,0,0,3,40,0,1,0,10,0,0,0,1,1,0,4,25,0,0,4,2,0,23,0,0,18,0,0,0,0,0,0,0,5,0,0,0,30
LasPiedras_upland,15,10,0,50,0,12,0,20,8,0,1,1,0,0,11,5,0,0,0,0,0,1,0,0,0,7,5,0,0,0,0,0,0,2,0,3,1,0,0,10,0,0,19,5,0,0,0,0,0,0,0,0,0,1,15
Maizal_upland,0,3,0,0,1,7,0,10,0,2,6,1,0,0,1,1,0,0,0,0,5,3,0,1,3,2,0,0,0,2,0,0,10,0,0,0,0,0,0,3,1,0,9,0,0,0,0,0,0,0,5,0,0,0,3
Pakitza_upland,3,6,9,0,0,0,2,3,0,3,0,0,0,0,2,10,0,0,1,0,0,5,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12
Refugio_upland,2,0,0,36,0,0,2,8,5,0,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,14,1,0,27,1,0,0,0,0,0,0,0,3
Salvador_upland,0,2,5,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,28
Tambopata_upland,1,3,16,34,0,0,5,6,7,2,8,0,14,0,0,2,0,1,0,7,0,5,0,0,0,0,9,0,0,4,0,0,0,0,0,0,0,0,0,16,0,0,1,1,0,0,0,8,0,0,0,0,0,0,12